ID	ZT_0_REP_1	ZT_0_REP_2	ZT_0_REP_3	ZT_4_REP_1	ZT_4_REP_2	ZT_4_REP_3	ZT_8_REP_1	ZT_8_REP_2	ZT_8_REP_3	ZT_12_REP_1	ZT_12_REP_2	ZT_12_REP_3	ZT_16_REP_1	ZT_16_REP_2	ZT_16_REP_3	ZT_20_REP_1	ZT_20_REP_2	ZT_20_REP_3
Cdsn	0.0	0.00597147	0.0260676	0.0330465	0.0	0.0264935	0.0271645	0.0439368	0.0	0.00523573	0.0135902	0.0218406	0.0171078	0.0201625	0.0230902	0.0164806	0.0065618	0.00832209
Cdt1	0.78573	0.870619	0.617186	1.11186	1.05612	1.46088	1.32016	1.01289	0.971412	1.12219	0.906026	0.589683	0.735485	0.829126	0.709741	0.862551	0.94851	0.632591
Cdv3	30.2334	31.4736	30.4702	32.1944	34.5876	34.3765	29.5793	31.2763	28.8501	32.4789	31.183	29.5615	30.8463	36.2134	33.9084	29.466	29.3107	28.804
Cdx1	0.0	0.0	0.0	0.0132476	0.0	0.0	0.0	0.0234843	0.0	0.00839552	0.0	0.0	0.0137162	0.0	0.0246836	0.0	0.0	0.0
Cdx2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cdx4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cdyl	1.57226	1.91248	1.7116	1.81986	1.57739	1.70231	1.87207	2.26269	1.84089	1.73982	1.64929	1.65294	1.6656	1.63712	1.62021	1.5806	1.81267	1.78441
Cdyl2	2.53467	2.47556	2.76153	2.99556	2.31392	2.81426	2.54885	3.06558	2.5285	2.32301	3.36807	2.74229	2.75871	3.37125	2.90401	2.67822	3.09012	2.94973
Ceacam-ps1	0.0454827	0.0	0.0	0.0	0.0	0.0	0.0	0.0718372	0.0	0.0256815	0.0333303	0.0	0.0839145	0.0659321	0.0	0.0	0.0965578	0.0
Ceacam1	1.28563	0.747963	0.776228	1.01266	0.578942	0.650839	0.491722	0.510049	0.548512	0.627925	0.485699	0.450687	0.783899	0.705606	0.62027	0.519898	0.50499	0.531416
Ceacam10	0.163957	0.15838	0.153641	0.146081	0.121836	0.351341	0.293527	0.0863203	0.382884	0.401168	0.140175	0.343274	0.126041	0.25748	0.294867	0.145704	0.0966873	0.0735749
Ceacam11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ceacam12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ceacam13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ceacam14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ceacam15	0.0	0.0249834	0.0	0.0	0.0216211	0.0138554	0.0	0.030637	0.0418136	0.0	0.0	0.0304589	0.0	0.0140593	0.0	0.0344758	0.0	0.0
Ceacam16	1.06066	1.15912	1.58124	0.987969	0.609041	0.826498	0.894507	0.88839	1.2298	1.11612	0.989246	0.85799	1.43802	0.8969	0.973776	0.971141	1.20547	0.706736
Ceacam18	0.0265131	0.00853708	0.0	0.0590559	0.0295526	0.0189382	0.0258903	0.0418759	0.0142881	0.0149705	0.0291437	0.0208162	0.0	0.0288253	0.0220072	0.0353422	0.0469052	0.0237952
Ceacam19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ceacam2	0.457531	0.234586	0.287142	0.365653	0.248798	0.212474	0.299196	0.173236	0.208574	0.207174	0.185704	0.177585	0.181461	0.19532	0.231471	0.154637	0.151007	0.306343
Ceacam20	0.0	0.0	0.00798634	0.0	0.0	0.0	0.0	0.0201914	0.0	0.0	0.00624545	0.0	0.0	0.0	0.0	0.0	0.0361861	0.0
Ceacam3	0.0	0.0154282	0.0112249	0.0106726	0.0	0.0256688	0.0	0.00945976	0.051643	0.00676364	0.0175561	0.0188095	0.0221003	0.0173643	0.00994285	0.0	0.00847669	0.0
Ceacam5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ceacam9	0.0984063	0.11407	0.0	0.122748	0.109688	0.210873	0.17297	0.0621708	0.169702	0.211145	0.144227	0.324499	0.108934	0.342362	0.245046	0.209882	0.0696374	0.123646
Cebpa	5.72595	2.5089	1.48501	2.43732	1.6297	1.90684	1.7133	1.77296	2.14523	2.33827	2.37105	2.20704	1.90569	1.52466	2.11407	1.32446	1.78898	1.66779
