CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
PNMA5	18.343972066864	1.13221277210318	72	2.09941280356777	20	0.859234454328192	18	15	0.132352941176471	1
PNMAL1	41.7139225620976	72.2765965374335	38	2.34482691227671	23.1701631701632	0.779449566338094	18	15	0.132352941176471	1
PNMAL2	39.8722853837354	221.167358202744	52	0.826660600076747	21.7505470459519	0.999821455352712	18	15	0.132352941176471	1
PNMT	26.9241007977307	0.064892976214609	1	1.35254070927624	28	0.988755426311671	18	15	0.132352941176471	1
PNN	25.2581038451335	22.6813341266014	1	1.15571565010849	28	0.996556860020627	18	15	0.132352941176471	1
PNO1	3.47746356441184	10.0530804010216	30	5.03148666833085	24.0677966101695	0.0935845899523126	18	15	0.132352941176471	1
PNOC	32.3781524209442	12.8758240917694	65	2.47223873699381	20.5797101449275	0.733549033234678	18	15	0.132352941176471	1
PNP	15.2426874333441	8.95462703487526	72	1.77856709370375	20	0.937632794088864	18	15	0.132352941176471	1
PNP2	30.9000491001932	4.5622162504907	60	2.28246836167982	21.014799154334	0.800972728293376	18	15	0.132352941176471	1
PNPLA1	20.5998715317641	0.0407339807592961	1	0.72553754961029	28	0.999951142210122	18	15	0.132352941176471	1
PNPLA2	17.4481288152714	8.8389378783746	44	2.21578187447877	22.5396825396825	0.82312482471907	18	15	0.132352941176471	1
PNPLA3	24.2932241137228	2.15024543075387	1	2.17035201490364	28	0.837633934431947	18	15	0.132352941176471	1
PNPLA5	24.0000200128087	0.00525817499613384	3	1.1713177969832	27.6880222841226	0.996170598561987	18	15	0.132352941176471	1
PNPLA6	43.8713827899775	16.4196388023537	1	3.62458294961777	28	0.333243681426398	18	15	0.132352941176471	1
PNPLA7	23.9399830135736	5.34307818765915	14	3.45518931297287	26.0892388451444	0.382058537147901	18	15	0.132352941176471	1
PNPLA8	42.5200041506567	28.6221539055602	1	3.58201420895204	28	0.345057961360354	18	15	0.132352941176471	1
PNPO	32.368834775923	31.9446415579033	20	2.82432746329354	25.2926208651399	0.600579006619046	18	15	0.132352941176471	1
PNPT1	43.8667782365186	7.99226423200614	6	1.85076338270305	27.2328767123288	0.922996931920306	18	15	0.132352941176471	1
PNRC1	25.221751572623	17.1985130954362	27	1.55068023122251	24.4226044226044	0.972007842817532	18	15	0.132352941176471	1
PNRC2	1.36096951561303	30.0901405142958	21	0.752233948979807	25.1645569620253	0.999929532999562	18	15	0.132352941176471	1
POC1A	29.8195897406513	1.62455365364827	72	1.47324646408597	20	0.97984919042996	18	15	0.132352941176471	1
POC1B	18.884343733272	2.44825446434642	41	2.45583217877172	22.8505747126437	0.73957846896823	18	15	0.132352941176471	1
POC5	40.208515776982	8.46619467027072	39	4.20879985179073	23.0626450116009	0.201193581132243	18	15	0.132352941176471	1
PODN	61.8854130719698	0.535329854512475	38	4.24773244913325	23.1701631701632	0.194262241038411	18	15	0.132352941176471	1
PODNL1	31.7569589015973	0.102538329477366	69	3.95529290299707	20.244399185336	0.25179839076194	18	15	0.132352941176471	1
PODXL	16.0593066636815	5.61893444266752	39	1.6768436906418	23.0626450116009	0.955161262603741	18	15	0.132352941176471	1
PODXL2	33.1572722797653	196.047763450505	57	1.81257092398615	21.2847965738758	0.930966341850337	18	15	0.132352941176471	1
POF1B	29.3668099394267	0.140830656627314	1	1.72690642567485	28	0.94698545264642	18	15	0.132352941176471	1
POFUT1	49.1522071948192	5.64749939822033	59	1.71320792437248	21.104033970276	0.949308963969301	18	15	0.132352941176471	1
